,Actual,Predicted,Forecast
1985-01-01,72.5052,0.0,
1985-02-01,70.672,72.50512441420418,
1985-03-01,62.4502,70.67191905796784,
1985-04-01,57.4714,62.45026272001155,
1985-05-01,55.3151,57.471440336336464,
1985-06-01,58.0904,55.315090537362494,
1985-07-01,62.6202,58.09039154464888,
1985-08-01,63.2485,62.620193237395,
1985-09-01,60.5846,63.248485688227056,
1985-10-01,56.3154,60.58459035793309,
1985-11-01,58.0005,56.31545517001632,
1985-12-01,68.7145,58.00053790559158,
1986-01-01,73.3057,104.96709826167134,
1986-02-01,67.9869,71.47261051077945,
1986-03-01,62.2221,60.44452157674098,
1986-04-01,57.0329,57.5662127162319,
1986-05-01,55.8137,54.27161909491216,
1986-06-01,59.9005,58.411534708953276,
1986-07-01,65.7655,63.8711755142869,
1986-08-01,64.4816,65.71147508950051,
1986-09-01,61.0005,61.88623241633754,
1986-10-01,57.5322,57.50086815030456,
1986-11-01,59.3417,59.36122205028192,
1986-12-01,68.1354,69.47462989494292,
1987-01-01,73.8152,73.02076410016804,
1987-02-01,70.062,70.13238327234168,
1987-03-01,65.61,62.94859499614076,
1987-04-01,60.1586,59.916439335485535,
1987-05-01,58.8734,57.97170470034068,
1987-06-01,63.8918,62.387689559115046,
1987-07-01,68.8694,68.70738474607809,
1987-08-01,70.0669,68.09780099605165,
1987-09-01,64.1151,66.59997673103523,
1987-10-01,60.3789,60.595310183848156,
1987-11-01,62.4643,62.91516037176603,
1987-12-01,70.5777,71.80832453788517,
1988-01-01,79.8703,76.06057874416082,
1988-02-01,76.1622,75.60668321691415,
1988-03-01,70.2928,69.28159085380437,
1988-04-01,63.2384,65.05852107564024,
1988-05-01,61.4065,62.16396436155338,
1988-06-01,67.1097,66.0840446268577,
1988-07-01,72.9816,71.91118953291884,
1988-08-01,75.7655,72.69681892486112,
1988-09-01,67.5152,70.62436672025035,
1988-10-01,63.2832,64.04676822703517,
1988-11-01,65.1078,66.35917122633884,
1988-12-01,73.8631,74.1550918232316,
1989-01-01,77.9188,80.87852124523313,
1989-02-01,76.6822,74.98019645113598,
1989-03-01,73.3523,70.84071926296156,
1989-04-01,65.1081,66.14103702033621,
1989-05-01,63.6892,63.32598072864586,
1989-06-01,68.4722,68.9019909079873,
1989-07-01,74.0301,73.78153346592123,
1989-08-01,75.0448,75.14187440779702,
1989-09-01,69.3053,69.36198206710546,
1989-10-01,65.8735,65.41140333560315,
1989-11-01,69.0706,67.62145632444603,
1989-12-01,84.1949,77.51726994687061,
1990-01-01,84.3598,88.03651909311596,
1990-02-01,77.1726,81.26717614270927,
1990-03-01,73.1964,74.62484988283774,
1990-04-01,67.2781,67.45071905392203,
1990-05-01,65.8218,65.25174481019775,
1990-06-01,71.4654,70.22423767029481,
1990-07-01,76.614,76.61013360539899,
1990-08-01,77.1052,77.41955861610143,
1990-09-01,73.061,71.78688847611083,
1990-10-01,67.4365,69.08580956834605,
1990-11-01,68.5665,69.84183437475679,
1990-12-01,77.6839,80.43180171970032,
1991-01-01,86.0214,82.39232762676076,
1991-02-01,77.5573,81.06681944196261,
1991-03-01,73.365,72.55876545133714,
1991-04-01,67.15,68.00981596750563,
1991-05-01,68.8162,65.42886192788956,
1991-06-01,74.8448,72.95653909418907,
1991-07-01,80.0928,79.04996482883338,
1991-08-01,79.1606,80.6611010781722,
1991-09-01,73.5743,74.602571430745,
1991-10-01,68.7538,69.79154055541764,
1991-11-01,72.5166,70.88691302014416,
1991-12-01,79.4894,82.28410530418125,
1992-01-01,85.2855,85.40748203207872,
1992-02-01,80.1643,80.57604485804755,
1992-03-01,74.5275,75.34028402814303,
1992-04-01,69.6441,68.37276868238376,
1992-05-01,67.1784,69.0478108327166,
1992-06-01,71.2078,72.53648600457335,
1992-07-01,77.5081,77.34216363076509,
1992-08-01,76.5374,77.877482754605,
1992-09-01,72.3541,71.31495973078029,
1992-10-01,69.0286,67.97758819443438,
1992-11-01,73.4992,71.00502017173913,
1992-12-01,84.5159,81.89910400077098,
1993-01-01,87.9464,89.04461015800561,
1993-02-01,84.5561,82.79779580996217,
1993-03-01,79.4747,79.63832793189067,
1993-04-01,71.0578,73.171300127038,
1993-05-01,67.6762,70.42038011929004,
1993-06-01,74.3297,73.67949352582448,
1993-07-01,82.1048,80.0623324951158,
1993-08-01,82.0605,81.05884968929296,
1993-09-01,74.6031,76.59503045729792,
1993-10-01,69.681,71.17958898101251,
1993-11-01,74.4292,73.64256509632152,
1993-12-01,84.2284,84.16660704402176,
1994-01-01,94.1386,88.6283095785809,
1994-02-01,87.1607,88.30872610596892,
1994-03-01,79.2456,81.39145342927998,
1994-04-01,70.9749,73.86709771432719,
1994-05-01,69.3844,70.2667503112616,
1994-06-01,77.9831,75.17137687268618,
1994-07-01,83.277,83.39408383483661,
1994-08-01,81.8872,82.71406664433167,
1994-09-01,75.6826,76.73516982128226,
1994-10-01,71.2661,71.78588111247849,
1994-11-01,75.2458,74.8906984340761,
1994-12-01,84.8147,84.9389269436103,
1995-01-01,92.4532,91.27211940388526,
1995-02-01,87.4033,86.79865533792707,
1995-03-01,81.2661,81.09808961284628,
1995-04-01,73.8167,74.12523606127212,
1995-05-01,73.2682,72.29660123594223,
1995-06-01,78.3026,79.43746663803093,
1995-07-01,85.9841,84.17652458899224,
1995-08-01,89.5467,85.47583223352684,
1995-09-01,78.5035,82.30141662879733,
1995-10-01,73.7066,74.38933568019341,
1995-11-01,79.6543,78.77618559614729,
1995-12-01,90.8251,88.91253880576092,
1996-01-01,98.9732,96.46673770003112,
1996-02-01,92.8883,93.00800492495188,
1996-03-01,86.9356,86.86308619865306,
1996-04-01,77.2214,80.07854034577555,
