Timestamp,Level,Message,Energy_Consumption,System_Status,Alert
1985-01-01,WARN,Slight deviation in energy consumption,81.94,WARNING,None
1985-02-01,INFO,Sensor malfunction detected,144.13,OK,None
1985-03-01,CRITICAL,Major drop in energy consumption,96.83,OK,None
1985-04-01,INFO,Major drop in energy consumption,54.77,OK,None
1985-05-01,INFO,Data collected successfully,86.41,OK,None
1985-06-01,INFO,Major drop in energy consumption,140.95,OK,Deviation Detected
1985-07-01,INFO,Slight deviation in energy consumption,135.34,OK,Deviation Detected
1985-08-01,INFO,Slight deviation in energy consumption,146.47,OK,Sensor Issue
1985-09-01,INFO,Sensor malfunction detected,110.99,OK,Deviation Detected
1985-10-01,INFO,Data collected successfully,99.33,OK,None
1985-11-01,WARN,Major drop in energy consumption,97.44,WARNING,None
1985-12-01,INFO,Major drop in energy consumption,77.92,OK,None
1986-01-01,INFO,Sensor malfunction detected,83.27,OK,None
1986-02-01,INFO,Slight deviation in energy consumption,62.73,OK,None
1986-03-01,INFO,Slight deviation in energy consumption,139.12,ERROR,Deviation Detected
1986-04-01,INFO,Data collected successfully,79.78,OK,Deviation Detected
1986-05-01,INFO,Data collected successfully,109.57,ERROR,None
1986-06-01,INFO,Data collected successfully,76.8,CRITICAL,Deviation Detected
1986-07-01,INFO,Sensor malfunction detected,127.9,ERROR,None
1986-08-01,INFO,Sensor malfunction detected,146.91,OK,Deviation Detected
1986-09-01,ERROR,Data collected successfully,54.94,OK,Sensor Issue
1986-10-01,WARN,Major drop in energy consumption,120.47,OK,Consumption Drop
1986-11-01,WARN,Data collected successfully,143.18,WARNING,None
1986-12-01,ERROR,Data collected successfully,58.11,CRITICAL,Deviation Detected
1987-01-01,INFO,Sensor malfunction detected,56.15,OK,None
1987-02-01,ERROR,Major drop in energy consumption,110.76,ERROR,None
1987-03-01,INFO,Slight deviation in energy consumption,145.94,OK,None
1987-04-01,WARN,Slight deviation in energy consumption,130.22,WARNING,Deviation Detected
1987-05-01,INFO,Sensor malfunction detected,57.39,OK,Deviation Detected
1987-06-01,INFO,Sensor malfunction detected,91.54,OK,None
1987-07-01,INFO,Data collected successfully,117.52,OK,None
1987-08-01,INFO,Slight deviation in energy consumption,81.66,WARNING,None
1987-09-01,INFO,Sensor malfunction detected,126.0,OK,None
1987-10-01,WARN,Sensor malfunction detected,106.42,OK,Sensor Issue
1987-11-01,INFO,Data collected successfully,59.45,OK,None
1987-12-01,INFO,Sensor malfunction detected,98.17,WARNING,None
1988-01-01,CRITICAL,Slight deviation in energy consumption,141.61,OK,Consumption Drop
1988-02-01,INFO,Sensor malfunction detected,109.73,WARNING,Deviation Detected
1988-03-01,CRITICAL,Data collected successfully,135.89,WARNING,Deviation Detected
1988-04-01,INFO,Slight deviation in energy consumption,99.08,OK,None
1988-05-01,INFO,Sensor malfunction detected,80.17,WARNING,None
1988-06-01,INFO,Major drop in energy consumption,100.96,OK,None
1988-07-01,CRITICAL,Data collected successfully,144.79,OK,None
1988-08-01,CRITICAL,Slight deviation in energy consumption,134.88,OK,Deviation Detected
1988-09-01,INFO,Slight deviation in energy consumption,74.47,OK,Deviation Detected
1988-10-01,INFO,Slight deviation in energy consumption,93.11,OK,None
1988-11-01,INFO,Major drop in energy consumption,146.94,WARNING,None
1988-12-01,CRITICAL,Slight deviation in energy consumption,100.36,OK,None
1989-01-01,INFO,Major drop in energy consumption,89.15,ERROR,None
1989-02-01,INFO,Data collected successfully,91.55,OK,Deviation Detected
1989-03-01,INFO,Major drop in energy consumption,74.78,OK,None
1989-04-01,CRITICAL,Data collected successfully,88.36,WARNING,None
1989-05-01,INFO,Sensor malfunction detected,111.12,OK,None
1989-06-01,INFO,Slight deviation in energy consumption,78.18,CRITICAL,Sensor Issue
1989-07-01,INFO,Major drop in energy consumption,102.02,OK,None
1989-08-01,INFO,Slight deviation in energy consumption,61.93,OK,None
1989-09-01,INFO,Major drop in energy consumption,121.05,OK,Consumption Drop
1989-10-01,ERROR,Sensor malfunction detected,141.84,OK,Sensor Issue
1989-11-01,INFO,Slight deviation in energy consumption,91.75,OK,None
1989-12-01,INFO,Sensor malfunction detected,56.23,OK,None
1990-01-01,INFO,Major drop in energy consumption,98.72,OK,None
1990-02-01,WARN,Slight deviation in energy consumption,59.09,ERROR,None
1990-03-01,WARN,Data collected successfully,71.91,OK,None
1990-04-01,CRITICAL,Major drop in energy consumption,99.44,ERROR,Deviation Detected
1990-05-01,INFO,Data collected successfully,101.87,OK,Deviation Detected
1990-06-01,INFO,Slight deviation in energy consumption,69.32,WARNING,None
1990-07-01,WARN,Slight deviation in energy consumption,134.23,OK,None
1990-08-01,INFO,Sensor malfunction detected,138.87,OK,None
1990-09-01,INFO,Sensor malfunction detected,51.13,OK,None
1990-10-01,INFO,Major drop in energy consumption,80.36,WARNING,None
1990-11-01,INFO,Data collected successfully,57.91,ERROR,None
